,Position,Track.Name,Artist,Streams,URL,Date,Region
86,86,Devu�lveme El Coraz�n,Sebastian Yatra,3183,https://open.spotify.com/track/2uWg6P3lEsS1qQ2qg11TUx,1/9/2018,ec
87,87,Finesse (Remix) [feat. Cardi B],Bruno Mars,3170,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i,1/9/2018,ec
88,88,La Modelo,Ozuna,3162,https://open.spotify.com/track/2m2ZGfJcs3lHWNPzhWH3XH,1/9/2018,ec
89,89,Báilame,Nacho,3158,https://open.spotify.com/track/7lRsNbdOGykkMAgsqs4R1C,1/9/2018,ec
90,90,Háblame Bajito,Abraham Mateo,3122,https://open.spotify.com/track/1s46xFwjfRUkRlPlX3PwPk,1/9/2018,ec
91,91,Caraluna,Bacilos,3113,https://open.spotify.com/track/7DhYjNLksXZhbRQeheAums,1/9/2018,ec
92,92,Destino o Casualidad,Melendi,3112,https://open.spotify.com/track/02IJFWVjLSM811RsySQusA,1/9/2018,ec
93,93,There's Nothing Holdin' Me Back,Shawn Mendes,3105,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu,1/9/2018,ec
94,94,River (feat. Ed Sheeran),Eminem,3103,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD,1/9/2018,ec
95,95,Una Lady Como Tú - Remix,Manuel Turizo,3086,https://open.spotify.com/track/7MMRoGvm7uhoUVhGvHJ3yW,1/9/2018,ec
96,96,Cómo Te Atreves,Morat,3076,https://open.spotify.com/track/2z0EshEO4XptiepEb9j3Og,1/9/2018,ec
97,97,A Ella,Karol G,3068,https://open.spotify.com/track/6081KcXIw1Xli7DBL53CVH,1/9/2018,ec
98,98,El Amante,Nicky Jam,3012,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,1/9/2018,ec
99,99,Sigo Extrañándote,J Balvin,2998,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8,1/9/2018,ec
100,100,Alguien Robo,Sebastian Yatra,2950,https://open.spotify.com/track/5i50gKdLAjjIr7UxRT5IVy,1/9/2018,ec
101,101,Photograph,Ed Sheeran,2934,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,1/9/2018,ec
102,102,La Rompe Corazones,Daddy Yankee,2930,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3,1/9/2018,ec
103,103,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Farruko,2918,https://open.spotify.com/track/2FrnTVSHjgnEylKGdHRUK1,1/9/2018,ec
104,104,Something Just Like This,The Chainsmokers,2881,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,1/9/2018,ec
105,105,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2876,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y,1/9/2018,ec
106,106,How Long,Charlie Puth,2846,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi,1/9/2018,ec
107,107,Believer,Imagine Dragons,2837,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6,1/9/2018,ec
108,108,Andas En Mi Cabeza,Chino & Nacho,2806,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF,1/9/2018,ec
109,109,Feels,Calvin Harris,2803,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke,1/9/2018,ec
110,110,Solo a Solas (feat. Maluma),Cosculluela,2766,https://open.spotify.com/track/4iKuG50iHNBaybQOo11yrN,1/9/2018,ec
111,111,La Estrategia,Cali Y El Dandee,2753,https://open.spotify.com/track/5fqE4mcMADOX0qTuIlpLZL,1/9/2018,ec
112,112,I Feel It Coming,The Weeknd,2744,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,1/9/2018,ec
113,113,Reggaetón Lento (Bailemos),CNCO,2738,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,1/9/2018,ec
114,114,That's What I Like,Bruno Mars,2722,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,1/9/2018,ec
115,115,Por Favor - Spanglish Version,Fifth Harmony,2710,https://open.spotify.com/track/2vHDurkzJ8dhCzoPzqiE2C,1/9/2018,ec
116,116,Nuestro Secreto,Carlos Vives,2703,https://open.spotify.com/track/2sBTBHbqkwz0qSDhKsQ4OQ,1/9/2018,ec
117,117,Thunder,Imagine Dragons,2685,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW,1/9/2018,ec
118,118,Bebe (feat. Anuel AA),Ozuna,2671,https://open.spotify.com/track/6SIrNxmmdbv1KUbFBu1PaN,1/9/2018,ec
119,119,Him & I (with Halsey),G-Eazy,2670,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4,1/9/2018,ec
120,120,Ay Mi Dios,IAmChino,2602,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,1/9/2018,ec
121,121,Krippy Kush,Farruko,2596,https://open.spotify.com/track/7FfpP3YZ6fOWMdxkIAtud9,1/9/2018,ec
122,122,Amor Con Hielo,Morat,2588,https://open.spotify.com/track/105pLwtYErO64sPyXsPPAP,1/9/2018,ec
123,123,Me Enamoré,Shakira,2562,https://open.spotify.com/track/4qknM1pQz53QOyfDVTjcM9,1/9/2018,ec
124,124,Vacaciones,Wisin,2558,https://open.spotify.com/track/1rXojdsUqqxGj2WCmJGWHP,1/9/2018,ec
125,125,Afuera del planeta,Manuel Medrano,2551,https://open.spotify.com/track/71t9GoojGIMZLySI6imKFY,1/9/2018,ec
126,126,El Granjero,Arcangel,2509,https://open.spotify.com/track/7k3SjypJ8lF9WWu8Op0We0,1/9/2018,ec
127,127,Sexto Sentido (feat. Bad Bunny),Gigolo Y La Exce,2503,https://open.spotify.com/track/3iDPALl8BoUbuXZgy6EOWY,1/9/2018,ec
128,128,La Bicicleta,Carlos Vives,2494,https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,1/9/2018,ec
129,129,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,2486,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV,1/9/2018,ec
130,130,The Scientist,Coldplay,2467,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,1/9/2018,ec
131,131,Romance,Nacho,2447,https://open.spotify.com/track/2ljGNdaz00VLUfqVfJjCAb,1/9/2018,ec
132,132,Soy Peor,Bad Bunny,2432,https://open.spotify.com/track/5MT96Zz0ymUJNm8obKZQr0,1/9/2018,ec
133,133,Joga O Bum Bum Tam Tam,MC Fioti,2403,https://open.spotify.com/track/58tUwXG7xKE7gzNOp6Msca,1/9/2018,ec
134,134,La flaca,Jarabe De Palo,2380,https://open.spotify.com/track/2LsbizbOeNa4x6qsi2jAMb,1/9/2018,ec
135,135,100 Años,Ha*Ash,2346,https://open.spotify.com/track/4gJzpOMYyOpVnbDXlT5aWL,1/9/2018,ec
136,136,23,Maluma,2314,https://open.spotify.com/track/6iHkZiRJcULoqasbboOgig,1/9/2018,ec
137,137,One Dance,Drake,2314,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,1/9/2018,ec
138,138,Say You Won't Let Go,James Arthur,2312,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,1/9/2018,ec
139,139,A Thousand Years,Christina Perri,2307,https://open.spotify.com/track/6lanRgr6wXibZr8KgzXxBl,1/9/2018,ec
140,140,Silence,Marshmello,2294,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU,1/9/2018,ec
141,141,All of Me,John Legend,2291,https://open.spotify.com/track/3uhBIQ7tv8j1FME8cFGEfG,1/9/2018,ec
142,142,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2290,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,1/9/2018,ec
143,143,Quédate,Manuel Medrano,2273,https://open.spotify.com/track/5XXxxfDWGvI6OaXPEniklV,1/9/2018,ec
144,144,Vitamina,Maluma,2268,https://open.spotify.com/track/5W9oqM9MkYU0DVBic748ZJ,1/9/2018,ec
145,145,Real Friends,Camila Cabello,2237,https://open.spotify.com/track/4V6MRo0CEAC9MwAm7dkPuL,1/9/2018,ec
146,146,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,2233,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF,1/9/2018,ec
147,147,Chantaje,Shakira,2232,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,1/9/2018,ec
148,148,Closer,The Chainsmokers,2221,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,1/9/2018,ec
149,149,La Mujer Que Bota Fuego (feat. Natalia Jiménez),Manuel Medrano,2219,https://open.spotify.com/track/6w6EINTodc8j0TWtrWHdm2,1/9/2018,ec
150,150,Let Me Love You,DJ Snake,2213,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,1/9/2018,ec
151,151,Aprender A Quererte,Morat,2208,https://open.spotify.com/track/52M5auEmcKuKLJzuwWj5xs,1/9/2018,ec
152,152,Ahora Me Llama - Remix,Karol G,2207,https://open.spotify.com/track/63yOvxSAB02K45KDnZscS0,1/9/2018,ec
153,153,I Miss You (feat. Julia Michaels),Clean Bandit,2201,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL,1/9/2018,ec
154,154,Juraste,Sky,2183,https://open.spotify.com/track/1xrbyp16GiuTEttWGqNQE6,1/9/2018,ec
155,155,Stargazing,Kygo,2178,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP,1/9/2018,ec
156,156,Friends (with BloodPop®),Justin Bieber,2175,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz,1/9/2018,ec
157,157,More Than You Know,Axwell /\ Ingrosso,2160,https://open.spotify.com/track/71bBFbfn2OBK5QwUJSLS44,1/9/2018,ec
158,158,Al Filo de Tu Amor,Carlos Vives,2145,https://open.spotify.com/track/5yJCrSdwrLFzboxg0z9xMd,1/9/2018,ec
159,159,It Ain't Me (with Selena Gomez),Kygo,2131,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe,1/9/2018,ec
160,160,Faded,Alan Walker,2129,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,1/9/2018,ec
161,161,Enamorándonos,Cabas,2125,https://open.spotify.com/track/0aywfeIr0tmhLZJxzqOhzP,1/9/2018,ec
162,162,Ya Me Enteré,Reik,2112,https://open.spotify.com/track/0lPXFrKyl8HkdQ2E6NmNja,1/9/2018,ec
163,163,Stressed Out,Twenty One Pilots,2111,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn,1/9/2018,ec
164,164,Si pudiera,Manuel Medrano,2106,https://open.spotify.com/track/5SqG2MEuRjwhxi1DcRR4V8,1/9/2018,ec
165,165,Mala y Peligrosa,Víctor Manuelle,2088,https://open.spotify.com/track/0afpbPmRHldjP59YRslQz9,1/9/2018,ec
166,166,Feel It Still,Portugal. The Man,2085,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK,1/9/2018,ec
167,167,Saturno,Pablo Alborán,2084,https://open.spotify.com/track/7en0831Kv3C7qDh1kXhM9U,1/9/2018,ec
168,168,Vente Pa' Ca,Ricky Martin,2078,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,1/9/2018,ec
169,169,Solo - Remix,Lary Over,2061,https://open.spotify.com/track/3l7mBXrUfRwa4VO8nHLAgJ,1/9/2018,ec
170,170,Corazon de Acero,Yiyo Sarante,2056,https://open.spotify.com/track/4dLBiOu6BXGaEL8ByICR6Q,1/9/2018,ec
171,171,24K Magic,Bruno Mars,2049,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,1/9/2018,ec
172,172,Happy Happy,Nacho,2046,https://open.spotify.com/track/4akm5q8AyAdbYPN2s7jxhY,1/9/2018,ec
173,173,When I Was Your Man,Bruno Mars,2031,https://open.spotify.com/track/0B7wvvmu9EISAwZnOpjhNI,1/9/2018,ec
174,174,Unforgettable,French Montana,2030,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe,1/9/2018,ec
175,175,Por Fin Te Encontré,Cali Y El Dandee,2021,https://open.spotify.com/track/3GpvoKKWZyTwgbLEM9RmWM,1/9/2018,ec
176,176,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,2013,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,1/9/2018,ec
177,177,Ni Tú Ni Yo,Jennifer Lopez,2001,https://open.spotify.com/track/5xMzazov0IHYllrc8U2K6F,1/9/2018,ec
178,178,Scared to Be Lonely,Martin Garrix,1997,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH,1/9/2018,ec
179,179,Reggaetón Lento (Remix),CNCO,1965,https://open.spotify.com/track/5PB8zB1MOZASboLquvinMF,1/9/2018,ec
180,180,Borro Cassette,Maluma,1954,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN,1/9/2018,ec
181,181,Netflixxx,Brytiago,1950,https://open.spotify.com/track/5gFAT2DbEt4TOMXyAMEixG,1/9/2018,ec
182,182,El Amante - Remix,Nicky Jam,1949,https://open.spotify.com/track/04f13iELcsYpY2yeLiAcfq,1/9/2018,ec
183,183,Es Tarde,Juanes,1943,https://open.spotify.com/track/3ktSe2NHl8RO1Fjh7mcvam,1/9/2018,ec
184,184,"Yo Contigo, Tú Conmigo - The Gong Gong Song / El Tema De La Película ""Gru 3 Mi Villano Favorito""",Morat,1930,https://open.spotify.com/track/77L1xG4kehRoAB4K37gQEA,1/9/2018,ec
185,185,Lumbra,Cali Y El Dandee,1925,https://open.spotify.com/track/6VHdcVbiKLYYOcMbIqBcuK,1/9/2018,ec
186,186,Never Be the Same,Camila Cabello,1922,https://open.spotify.com/track/6VpQdig9pdpTSIFItgkJV5,1/9/2018,ec
187,187,Ando buscando,Carlos Baute,1920,https://open.spotify.com/track/7BwJtE8KSbCQKOCTIAY3jX,1/9/2018,ec
188,188,La Dama,Karol G,1904,https://open.spotify.com/track/18Lf9mbzkZnQDjksUhpIqY,1/9/2018,ec
189,189,Te Mando Flores,Fonseca,1901,https://open.spotify.com/track/6OpHDI8lRiqHLqmUIYUxVr,1/9/2018,ec
190,190,Tuesday,Burak Yeter,1895,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR,1/9/2018,ec
191,191,No Lie,Sean Paul,1885,https://open.spotify.com/track/3cFsmM51N5zMAuu1nNY4Tw,1/9/2018,ec
192,192,Flaca,Andrés Calamaro,1881,https://open.spotify.com/track/1p7m9H4H8s0Y7SgRm7j3ED,1/9/2018,ec
193,193,Lonely Together (feat. Rita Ora),Avicii,1870,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab,1/9/2018,ec
194,194,Devuelveme a mi chica,Hombres G,1866,https://open.spotify.com/track/1Wrzhfa5bNlqvsnCztz190,1/9/2018,ec
195,195,Sign of the Times,Harry Styles,1862,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN,1/9/2018,ec
196,196,SUBEME LA RADIO,Enrique Iglesias,1861,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn,1/9/2018,ec
197,197,Wonderwall - Remastered,Oasis,1852,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa,1/9/2018,ec
198,198,Let You Down,NF,1852,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,1/9/2018,ec
199,199,Bohemian Rhapsody - Remastered 2011,Queen,1852,https://open.spotify.com/track/1AhDOtG9vPSOmsWgNW0BEY,1/9/2018,ec
200,200,Every Breath You Take - Remastered 2003,The Police,1848,https://open.spotify.com/track/5C0LFQARavkPpn7JgA4sLk,1/9/2018,ec
201,1,Mwaka Moon,Kalash,151200,https://open.spotify.com/track/1vVZLmZq8gN8pPCEBLjPvD,1/9/2018,fr
202,2,Désaccordé,Vald,143860,https://open.spotify.com/track/6A2s6o5DQGTs20XVqFsM8k,1/9/2018,fr
203,3,Longue vie,Sofiane,130433,https://open.spotify.com/track/0bZXIae48CY5UZ6MKuNutR,1/9/2018,fr
204,4,rockstar,Post Malone,126820,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,1/9/2018,fr
